State,iso_3166_2,Region,Division,rank
California,CA,West,Pacific,1
New Jersey,NJ,Northeast,Middle Atlantic,2
Connecticut,CT,Northeast,New England,3
New York,NY,Northeast,Middle Atlantic,4
Hawaii,HI,West,Pacific,5
Maryland,MD,South,South Atlantic,6
Massachusetts,MA,Northeast,New England,7
Illinois,IL,Midwest,East North Central,8
Rhode Island,RI,Northeast,New England,9
Washington,WA,West,Pacific,10
Delaware,DE,South,South Atlantic,11
Pennsylvania,PA,Northeast,Middle Atlantic,12
Minnesota,MN,Midwest,West North Central,13
Colorado,CO,West,Mountain,14
Nevada,NV,West,Mountain,15
Oregon,OR,West,Pacific,15
New Mexico,NM,West,Mountain,17
Nebraska,NE,Midwest,West North Central,18
Iowa,IA,Midwest,West North Central,19
Michigan,MI,Midwest,East North Central,19
Wisconsin,WI,Midwest,East North Central,21
Florida,FL,South,South Atlantic,22
Vermont,VT,Northeast,New England,23
North Carolina,NC,South,South Atlantic,24
Ohio,OH,Midwest,East North Central,24
Virginia,VA,South,South Atlantic,26
Utah,UT,West,Mountain,27
Indiana,IN,Midwest,East North Central,28
Tennessee,TN,South,East South Central,29
New Hampshire,NH,Northeast,New England,30
South Carolina,SC,South,South Atlantic,31
Georgia,GA,South,South Atlantic,32
Louisiana,LA,South,West South Central,32
Maine,ME,Northeast,New England,34
Montana,MT,West,Mountain,34
Texas,TX,South,West South Central,34
West Virginia,WV,South,South Atlantic,34
Alaska,AK,West,Pacific,38
North Dakota,ND,Midwest,West North Central,39
Arizona,AZ,West,Mountain,40
Oklahoma,OK,South,West South Central,40
Alabama,AL,South,East South Central,42
Kansas,KS,Midwest,West North Central,43
South Dakota,SD,Midwest,West North Central,44
Arkansas,AR,South,West South Central,45
Kentucky,KY,South,East South Central,46
Missouri,MO,Midwest,West North Central,46
Idaho,ID,West,Mountain,48
Wyoming,WY,West,Mountain,48
Mississippi,MS,South,East South Central,50
District of Columbia,DC,South,South Atlantic,
